corrida,gpi,config,partidas,vitoria_pct,media_movel_5_pct
gpi2000,2000,antiga,13400000,65.267,65.3094
gpi2000,2000,antiga,13500000,65.37,65.2958
gpi2000,2000,antiga,13600000,65.381,65.3156
gpi2000,2000,antiga,13700000,65.448,65.3588
gpi2000,2000,antiga,13800000,65.438,65.3808
gpi2000,2000,antiga,13900000,65.365,65.4004
gpi2000,2000,antiga,14000000,65.544,65.4352
gpi2000,2000,antiga,14100000,65.431,65.4452
gpi2000,2000,antiga,14200000,65.239,65.4034
gpi2000,2000,antiga,14300000,65.428,65.4014
gpi2000,2000,antiga,14400000,65.388,65.406
gpi2000,2000,antiga,14500000,65.437,65.3846
gpi2000,2000,antiga,14600000,65.313,65.361
gpi2000,2000,antiga,14700000,65.385,65.3902
gpi2000,2000,antiga,14800000,65.335,65.3716
gpi2000,2000,antiga,14900000,65.36,65.366
gpi2000,2000,antiga,15000000,65.399,65.3584
gpi2000,2000,antiga,15100000,65.522,65.4002
gpi2000,2000,antiga,15200000,65.342,65.3916
gpi2000,2000,antiga,15300000,65.516,65.4278
gpi2000,2000,antiga,15400000,65.494,65.4546
gpi2000,2000,antiga,15500000,65.543,65.4834
gpi2000,2000,antiga,15600000,65.556,65.4902
gpi2000,2000,antiga,15700000,65.787,65.5792
gpi2000,2000,antiga,15800000,65.53,65.582
gpi2000,2000,antiga,15900000,65.384,65.56
gpi2000,2000,antiga,16000000,65.434,65.5382
gpi2000,2000,antiga,16100000,65.597,65.5464
gpi2000,2000,antiga,16200000,65.446,65.4782
gpi2000,2000,antiga,16300000,65.387,65.4496
gpi2000,2000,antiga,16400000,65.431,65.459
gpi2000,2000,antiga,16500000,65.314,65.435
gpi2000,2000,antiga,16600000,65.314,65.3784
gpi2000,2000,antiga,16700000,65.594,65.408
gpi2000,2000,antiga,16800000,65.354,65.4014
gpi2000,2000,antiga,16900000,65.331,65.3814
gpi2000,2000,antiga,17000000,65.491,65.4168
gpi2000,2000,antiga,17100000,65.501,65.4542
gpi2000,2000,antiga,17200000,65.457,65.4268
gpi4000,4000,antiga,0,62.58,62.58
gpi4000,4000,antiga,100000,63.566,63.073
gpi4000,4000,antiga,200000,63.874,63.34
gpi4000,4000,antiga,300000,64.102,63.5305
gpi4000,4000,antiga,400000,64.222,63.6688
gpi4000,4000,antiga,500000,64.536,64.06
gpi4000,4000,antiga,600000,64.487,64.2442
gpi4000,4000,antiga,700000,64.529,64.3752
gpi4000,4000,antiga,800000,64.273,64.4094
gpi4000,4000,antiga,900000,64.476,64.4602
gpi4000,4000,antiga,1000000,64.598,64.4726
gpi4000,4000,antiga,1100000,64.543,64.4838
gpi4000,4000,antiga,1200000,64.711,64.5202
gpi4000,4000,antiga,1300000,64.821,64.6298
gpi4000,4000,antiga,1400000,64.776,64.6898
gpi4000,4000,antiga,1500000,64.592,64.6886
gpi4000,4000,antiga,1600000,64.745,64.729
gpi4000,4000,antiga,1700000,64.799,64.7466
